,"(0,0)","(1,1)","(1,2)","(1,3)","(1,4)","(2,1)","(2,2)","(2,3)","(2,4)","(3,1)","(3,2)","(3,3)","(3,4)","(4,1)","(4,2)","(4,3)","(4,4)","(5,1)","(5,2)","(5,3)","(5,4)",Question_ID,correctness,end,player_ID,player_experience,start,total,x1,x2,x3,x4,y1,y2,y3,y4
0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.25,1.15,0.0,0.0,0.067,0.25,0.0,0.317,0.383,0.033,0.0,1,1,21.88318,2,1,18.69629,3.25,0.0,0.6,1.4,0.317,0.317,0.7,2.033,0.0
0,0.267,0.0,0.0,0.0,0.183,0.0,0.15,0.05,0.516,0.0,0.017,0.417,0.566,0.0,0.0,0.017,0.0,0.0,0.067,0.0,0.0,2,1,30.262079999999997,2,1,28.0603,2.25,0.183,0.716,1.0,0.017,0.0,0.234,0.484,1.265
0,0.05,0.15,0.083,0.0,0.0,0.05,0.25,0.0,0.0,0.666,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.017,0.45,0.0,3,1,37.70422,2,1,36.01392,1.733,0.233,0.3,0.666,0.017,0.883,0.35,0.45,0.0
0,0.0,0.0,0.0,0.0,0.0,0.367,0.0,0.0,0.0,0.9,0.033,0.0,0.0,0.033,0.033,0.0,0.0,0.1,0.183,0.0,0.0,4,1,44.62122,2,1,43.01086,1.649,0.0,0.367,0.933,0.066,1.4,0.249,0.0,0.0
0,0.017,0.0,0.0,0.0,0.0,0.383,1.2,0.067,0.0,0.0,0.716,0.0,0.0,0.0,0.067,0.0,0.0,0.017,0.483,0.0,0.0,5,1,63.34998,2,1,60.458369999999995,2.95,0.0,1.65,0.716,0.067,0.4,2.466,0.067,0.0
1,0.067,0.0,0.0,0.0,0.0,0.0,0.566,0.317,0.0,0.183,0.1,0.0,0.0,0.0,0.017,0.0,0.0,0.383,0.033,0.0,0.0,5,0,64.97644,2,1,63.34998,1.666,0.0,0.883,0.283,0.017,0.566,0.716,0.317,0.0
2,0.433,0.117,2.332,3.299,0.15,2.599,2.532,3.299,1.899,2.216,3.615,2.449,1.816,1.1,3.982,0.433,0.2,0.0,0.35,0.0,0.0,5,0,97.3252,2,1,64.97644,32.821,5.898,10.329,10.096,5.715,6.032,12.811,9.48,4.065
3,0.05,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.35,0.083,0.0,0.0,0.483,0.0,0.3,0.033,0.217,0.0,5,0,98.82616999999999,2,1,97.3252,1.533,0.0,0.017,0.433,0.483,0.317,0.033,1.05,0.083
4,0.017,0.217,0.283,0.0,0.0,0.283,0.417,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.033,0.017,0.0,0.0,0.0,0.117,0.367,5,0,100.5448,2,1,98.82616999999999,1.768,0.5,0.7,0.017,0.05,0.5,0.75,0.134,0.367
5,0.033,0.0,0.0,0.433,0.083,0.0,0.0,0.167,0.067,0.0,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.417,0.0,5,0,101.77673,2,1,100.5448,1.266,0.516,0.234,0.033,0.033,0.0,0.0,1.083,0.15
0,0.233,0.0,0.0,0.25,0.0,0.05,0.6,0.433,0.0,0.033,0.2,0.033,0.0,0.0,0.15,0.0,0.0,0.0,0.183,0.0,0.0,6,1,109.64758,2,1,107.5271,2.165,0.25,1.083,0.266,0.15,0.083,1.133,0.716,0.0
1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.217,0.816,0.067,0.05,0.3,0.0,0.117,0.1,0.0,0.217,0.033,0.0,6,0,111.61792,2,1,109.64758,2.017,0.0,0.05,1.15,0.517,0.517,1.033,0.217,0.2
2,0.033,0.0,0.217,0.783,0.0,0.0,0.1,0.267,0.15,0.0,0.267,0.267,0.0,0.0,0.6,0.466,0.0,0.0,0.083,0.25,0.0,6,0,115.03674,2,1,111.61792,3.483,1.0,0.517,0.534,1.066,0.0,1.267,2.033,0.15
3,1.616,0.0,0.417,0.383,0.083,0.0,0.466,2.916,1.166,0.117,1.916,3.199,1.866,0.0,0.483,2.232,0.233,0.0,0.267,0.283,0.0,6,0,132.41711,2,1,115.03674,17.643,0.883,4.548,7.098,2.948,0.117,3.549,9.013,3.348
4,0.067,0.0,0.0,0.033,0.367,0.0,0.0,0.033,0.433,0.0,0.0,0.283,0.083,0.0,0.0,0.033,0.0,0.0,0.2,0.367,0.067,6,0,134.33899,2,1,132.41711,1.966,0.4,0.466,0.366,0.033,0.0,0.2,0.749,0.95
5,0.15,0.1,0.55,0.75,0.05,0.0,0.0,0.95,0.05,0.0,0.0,0.283,0.0,0.0,0.1,0.55,0.0,0.183,0.15,0.0,0.0,6,0,138.13452,2,1,134.33899,3.866,1.45,1.0,0.283,0.65,0.283,0.8,2.533,0.1
6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.017,0.0,0.067,0.367,0.0,0.0,0.033,0.317,0.0,0.0,0.217,0.183,0.0,6,0,139.45081000000002,2,1,138.13452,1.351,0.0,0.117,0.434,0.35,0.0,0.317,0.967,0.017
0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.183,0.35,0.666,0.217,0.0,0.067,0.0,0.0,0.0,0.217,0.0,0.0,7,1,148.02466,2,1,145.9386,2.133,0.0,0.35,1.416,0.067,0.183,0.634,1.016,0.217
1,0.033,0.0,0.0,0.15,0.0,0.2,0.783,0.017,0.0,0.033,0.317,0.017,0.0,0.1,0.017,0.017,0.0,0.0,0.133,0.317,0.0,7,0,150.11206,2,1,148.02466,2.134,0.15,1.0,0.367,0.134,0.333,1.25,0.518,0.0
2,0.05,0.0,0.15,0.583,0.033,0.067,0.033,0.0,0.0,0.133,0.017,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.25,0.167,0.0,7,0,151.58923000000001,2,1,150.11206,1.516,0.766,0.1,0.15,0.033,0.2,0.483,0.75,0.033
3,0.183,0.0,0.0,0.0,0.0,0.067,0.0,0.45,0.0,0.133,0.133,0.4,0.0,0.033,0.35,0.033,0.0,0.0,0.117,0.0,0.0,7,0,153.4458,2,1,151.58923000000001,1.899,0.0,0.517,0.666,0.416,0.233,0.6,0.883,0.0
4,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.133,0.0,0.0,0.05,0.417,0.15,0.0,0.0,0.117,0.466,0.0,7,0,154.85889,2,1,153.4458,1.449,0.0,0.0,0.216,0.617,0.133,0.667,0.616,0.0
5,0.083,0.0,0.0,0.0,0.0,0.583,0.033,0.0,0.0,0.35,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.117,0.0,7,0,156.30579,2,1,154.85889,1.483,0.0,0.616,0.417,0.0,0.933,0.35,0.117,0.0
0,0.083,0.0,0.0,0.0,0.0,0.0,0.25,0.833,0.033,0.0,0.65,0.483,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,8,1,163.82947,2,1,161.25011999999998,2.632,0.0,1.116,1.133,0.1,0.0,1.2,1.316,0.033
1,0.017,0.0,0.183,0.0,0.0,0.333,0.833,0.733,0.0,0.033,0.217,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.117,0.3,0.133,8,0,166.70398,2,1,163.82947,2.932,0.183,1.899,0.25,0.033,0.366,1.383,1.033,0.133
2,0.033,0.0,0.267,0.367,0.0,0.0,1.799,0.067,0.0,0.4,0.233,0.267,0.233,0.0,0.033,0.283,0.0,0.0,0.383,0.017,0.0,8,0,171.01294,2,1,166.70398,4.382,0.634,1.866,1.133,0.316,0.4,2.715,1.001,0.233
3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.367,0.0,0.0,0.067,0.383,0.0,0.0,0.233,0.017,0.0,0.0,8,0,172.24108999999999,2,1,171.01294,1.267,0.0,0.0,0.517,0.45,0.45,0.767,0.0,0.0
4,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.0,0.0,0.133,0.167,0.183,0.0,0.0,0.133,0.15,8,0,173.47266000000002,2,1,172.24108999999999,1.266,0.0,0.0,0.433,0.483,0.0,0.133,0.733,0.333
5,0.117,0.0,0.0,0.05,0.167,0.0,0.0,0.3,0.167,0.0,0.0,0.233,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.1,0.183,8,0,174.77123999999998,2,1,173.47266000000002,1.334,0.217,0.467,0.233,0.017,0.0,0.0,0.7,0.517
